,Kernel,Average False Confidence,batch_size,eps,eps_step,max_iter,norm,name
208,poly,-0.08606178762572654,10.0,1.0,0.5,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
209,poly,-0.0949054943835559,10.0,0.01,0.1,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
210,poly,-0.0949223809829398,100.0,0.001,1.0,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
211,poly,-0.053445626181506105,100.0,0.001,0.001,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
212,poly,0.038239366193732305,10.0,0.3,1.0,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
213,poly,-0.05730367003053522,1.0,0.5,0.001,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
214,poly,-0.04961204239763681,10.0,1.0,1.0,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
215,poly,0.03274636390243619,50.0,0.01,0.3,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
216,poly,0.02741735069832009,1.0,0.3,1.0,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
217,poly,-0.05375153598700892,100.0,0.001,1.0,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
218,poly,-0.05375153598195969,1.0,0.001,0.3,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
219,poly,0.03451663310685876,10.0,0.1,0.1,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
220,poly,0.027417361253560073,1.0,0.3,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
221,poly,-0.09498869206382077,10.0,0.001,1.0,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
222,poly,-0.032715584800519455,1.0,0.1,0.1,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
223,poly,0.034562251222954664,1.0,0.01,0.5,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
224,poly,0.0345622663826913,100.0,0.01,0.001,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
225,poly,-0.09236458666469365,1.0,0.3,0.01,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
226,poly,-0.050420825039007994,100.0,0.1,0.01,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
227,poly,-0.017687686227788584,10.0,1.0,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
228,poly,-0.09065647871188101,50.0,0.5,1.0,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
229,poly,-0.051052120161030626,100.0,0.01,0.5,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
230,poly,-0.0533828773667345,100.0,0.3,0.01,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
231,poly,-0.05042082606957049,1.0,0.1,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
232,poly,-0.0573036662464383,100.0,0.5,1.0,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
233,poly,-0.09065648469050176,10.0,0.5,0.01,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
234,poly,-0.09440612779440706,100.0,0.001,0.01,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
235,poly,0.033843183332423685,100.0,0.3,0.5,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
236,poly,0.00440543892937208,100.0,1.0,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
237,poly,-0.09065647709957131,1.0,0.5,0.3,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
238,poly,-0.024252200194006503,100.0,0.1,1.0,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
239,poly,-0.053719193610071506,10.0,0.001,0.001,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
240,poly,0.03474409032815501,50.0,0.1,0.001,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
241,poly,0.012547499726271833,50.0,0.1,1.0,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
